Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Herndon,Midday (9:30am-3pm),2023,0.04K,0K,36,11
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Reston Town Center,Midday (9:30am-3pm),2023,0.04K,0K,44,30
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Vienna,Midday (9:30am-3pm),2023,0.19K,0K,186,65
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Wiehle-Reston East,Midday (9:30am-3pm),2023,0.05K,0K,54,34
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Spring Hill,Midday (9:30am-3pm),2023,0.03K,0K,33,16
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Dunn Loring,Midday (9:30am-3pm),2023,0.06K,0K,59,25
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Greensboro,Midday (9:30am-3pm),2023,0.03K,0K,30,27
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Tysons,Midday (9:30am-3pm),2023,0.08K,0K,78,99
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,West Falls Church,Midday (9:30am-3pm),2023,0.07K,0K,65,19
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,McLean,Midday (9:30am-3pm),2023,0.05K,0K,45,64
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Shady Grove,Midday (9:30am-3pm),2023,0.24K,0K,241,88
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,East Falls Church,Midday (9:30am-3pm),2023,0.12K,0K,121,22
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Rockville,Midday (9:30am-3pm),2023,0.10K,0K,99,68
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Ballston-MU,Midday (9:30am-3pm),2023,0.21K,0K,212,169
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Twinbrook,Midday (9:30am-3pm),2023,0.12K,0K,121,43
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Virginia Sq-GMU,Midday (9:30am-3pm),2023,0.09K,0K,89,63
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,North Bethesda,Midday (9:30am-3pm),2023,0.09K,0K,90,53
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Clarendon,Midday (9:30am-3pm),2023,0.13K,0K,126,46
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Grosvenor-Strathmore,Midday (9:30am-3pm),2023,0.12K,0K,116,29
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Court House,Midday (9:30am-3pm),2023,0.19K,0K,186,82
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Franconia-Springfield,Midday (9:30am-3pm),2023,0.17K,0K,170,51
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Medical Center,Midday (9:30am-3pm),2023,0.07K,0K,74,140
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Rosslyn,Midday (9:30am-3pm),2023,0.30K,0K,297,216
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Bethesda,Midday (9:30am-3pm),2023,0.25K,0K,251,143
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Van Dorn Street,Midday (9:30am-3pm),2023,0.07K,0K,67,19
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Friendship Heights,Midday (9:30am-3pm),2023,0.20K,0K,196,104
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Tenleytown-AU,Midday (9:30am-3pm),2023,0.13K,0K,133,175
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Arlington Cemetery,Midday (9:30am-3pm),2023,0.03K,0K,30,89
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Van Ness-UDC,Midday (9:30am-3pm),2023,0.20K,0K,196,128
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Foggy Bottom-GWU,Midday (9:30am-3pm),2023,0.37K,1K,368,817
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Cleveland Park,Midday (9:30am-3pm),2023,0.11K,0K,106,63
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Pentagon City,Midday (9:30am-3pm),2023,0.34K,0K,337,255
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Woodley Park,Midday (9:30am-3pm),2023,0.17K,0K,171,100
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Pentagon,Midday (9:30am-3pm),2023,0.20K,0K,199,205
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Farragut West,Midday (9:30am-3pm),2023,0.23K,1K,234,605
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Dupont Circle,Midday (9:30am-3pm),2023,0.36K,0K,356,428
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Crystal City,Midday (9:30am-3pm),2023,0.24K,0K,243,158
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Farragut North,Midday (9:30am-3pm),2023,0.24K,1K,237,791
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,McPherson Sq,Midday (9:30am-3pm),2023,0.23K,0K,229,335
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,King St-Old Town,Midday (9:30am-3pm),2023,0.17K,0K,171,110
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Ronald Reagan Washington National Airport,Midday (9:30am-3pm),2023,0.22K,0K,216,217
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Potomac Yard,Midday (9:30am-3pm),2023,0.07K,0K,70,33
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Braddock Road,Midday (9:30am-3pm),2023,0.10K,0K,95,48
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Eisenhower Ave,Midday (9:30am-3pm),2023,0.05K,0K,49,34
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Huntington,Midday (9:30am-3pm),2023,0.15K,0K,150,70
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Smithsonian,Midday (9:30am-3pm),2023,0.06K,0K,64,356
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Federal Triangle,Midday (9:30am-3pm),2023,0.06K,0K,59,260
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Metro Center,Midday (9:30am-3pm),2023,0.27K,1K,272,865
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Columbia Heights,Midday (9:30am-3pm),2023,0.29K,0K,285,193
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Glenmont,Midday (9:30am-3pm),2023,0.17K,0K,165,46
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Silver Spring,Midday (9:30am-3pm),2023,0.28K,0K,284,128
